SiteId,FuelId,CollectionMethod,TransactionDateUtc,Price
61290151,2,Q,2022-11-12T07:26:03.49,1849.0
61291313,2,Q,2022-11-17T21:42:04.58,1940.0
61401007,2,Q,2022-11-20T18:26:38.34,2079.0
61401008,2,Q,2022-11-21T00:15:00,2039.0
61401010,2,Q,2022-11-20T22:00:42.39,1789.0
61401011,2,Q,2022-11-20T14:01:00,1789.0
61401013,2,Q,2022-11-20T23:20:53,1937.0
61401014,2,Q,2022-11-20T23:40:00,1937.0
61401015,2,Q,2022-11-20T14:01:00,1799.0
61401017,2,Q,2022-11-20T14:01:00,1807.0
61401019,2,Q,2022-11-20T08:33:13,1869.0
61401020,2,Q,2022-11-20T14:01:00,2039.0
61401023,2,Q,2022-11-21T00:15:00,1889.0
61401024,2,Q,2022-11-20T18:26:38.34,1889.0
61401025,2,Q,2022-11-20T23:14:00,1879.0
61401029,2,Q,2022-11-17T23:37:29.057,1889.0
61401030,2,Q,2022-11-20T18:46:15,1787.0
61401033,2,Q,2022-11-20T23:15:42.41,2019.0
61401035,2,Q,2022-11-16T21:42:32.68,1789.0
61401038,2,Q,2022-11-16T22:21:51,1799.0
61401039,2,Q,2022-11-20T22:15:43.14,1889.0
61401044,2,Q,2022-11-20T05:27:41,1879.0
61401046,2,Q,2022-11-18T06:15:48.02,1869.0
61401051,2,Q,2022-11-20T18:26:38.34,1939.0
61401053,2,Q,2022-11-18T07:15:48.053,1939.0
61401054,2,Q,2022-11-20T14:01:00,1939.0
61401057,2,Q,2022-11-18T02:15:40.153,1949.0
61401061,2,Q,2022-11-17T04:08:19,1799.0
61401062,2,Q,2022-11-20T18:26:38.34,1889.0
61401064,2,Q,2022-11-20T21:36:00,1964.0
61401067,2,Q,2022-11-07T02:51:54.877,2149.0
61401068,2,Q,2022-11-20T21:15:41.12,1979.0
61401080,2,Q,2022-11-20T20:21:15,1977.0
61401083,2,Q,2022-11-18T06:00:07,1947.0
61401090,2,Q,2022-11-20T02:42:33.98,1939.0
61401092,2,Q,2022-11-21T00:24:20.977,2039.0
61401094,2,Q,2022-11-21T00:24:20.977,1889.0
61401106,2,Q,2022-11-21T00:24:20.977,1939.0
61401117,2,Q,2022-11-19T03:37:58.357,1899.0
61401118,2,Q,2022-11-20T18:26:38.34,1799.0
61401119,2,Q,2022-11-21T00:24:20.977,1979.0
61401124,2,Q,2022-11-20T14:01:00,1799.0
61401126,2,Q,2022-11-20T21:28:46.033,2029.0
61401128,2,Q,2022-11-21T00:15:41.3,1939.0
61401131,2,Q,2022-11-19T00:47:05.317,1949.0
61401132,2,Q,2022-11-11T03:15:37.52,1939.0
61401134,2,Q,2022-11-20T14:01:00,1949.0
61401136,2,Q,2022-11-02T06:51:57,2149.0
61401137,2,Q,2022-11-20T22:16:21.797,1949.0
61401138,2,Q,2022-11-21T00:15:41.347,1939.0
61401140,2,Q,2022-11-18T23:59:56.82,1949.0
61401142,2,Q,2022-11-20T23:04:00,1939.0
61401147,2,Q,2022-11-18T06:23:36,1979.0
61401148,2,Q,2022-11-20T22:15:43.17,1939.0
61401149,2,Q,2022-11-20T21:50:44.493,1939.0
61401150,2,Q,2022-11-21T00:24:20.977,1939.0
61401155,2,Q,2022-11-20T20:46:00,1939.0
61401156,2,Q,2022-11-18T19:03:24.937,1999.0
61401157,2,Q,2022-11-21T00:15:00,1999.0
61401159,2,Q,2022-11-21T00:24:20.977,1999.0
61401160,2,Q,2022-11-19T07:05:21,2039.0
61401167,2,Q,2022-11-20T23:04:00,1989.0
61401170,2,Q,2022-11-20T21:20:36.583,1989.0
61401173,2,Q,2022-11-20T21:22:17,1969.0
61401177,2,Q,2022-11-20T18:26:38.34,2057.0
61401180,2,Q,2022-11-20T23:25:33.243,1949.0
61401183,2,Q,2022-11-20T14:01:00,1799.0
61401188,2,Q,2022-11-20T18:26:38.34,2019.0
61401189,2,Q,2022-11-20T18:26:38.34,1799.0
61401195,2,Q,2022-11-21T00:15:00,1799.0
61401200,2,Q,2022-11-20T18:26:38.34,1804.0
61401206,2,Q,2022-11-20T20:40:00,1899.0
61401210,2,Q,2022-11-18T01:15:12.133,1969.0
61401212,2,Q,2022-11-17T22:15:49.167,9999.0
61401218,2,Q,2022-11-19T22:38:19.61,1877.0
61401224,2,Q,2022-11-20T14:01:00,1879.0
61401225,2,Q,2022-11-20T03:29:06,1839.0
61401227,2,Q,2022-11-20T22:46:16.123,1877.0
61401228,2,Q,2022-11-20T23:15:00,1877.0
61401229,2,Q,2022-11-20T23:06:00,1879.0
61401234,2,Q,2022-11-18T06:20:33.657,1879.0
61401235,2,Q,2022-11-18T08:43:57.823,1899.0
61401238,2,Q,2022-11-16T06:03:35,1999.0
61401246,2,Q,2022-11-20T18:26:38.34,1809.0
61401248,2,Q,2022-11-20T00:06:20.617,1809.0
61401249,2,Q,2022-11-20T21:43:00,1769.0
61401250,2,Q,2022-11-20T18:26:38.34,1799.0
61401252,2,Q,2022-11-20T23:06:00,1969.0
61401254,2,Q,2022-11-18T00:09:25,1989.0
61401257,2,Q,2022-11-20T21:35:00,1969.0
61401258,2,Q,2022-11-20T20:39:46,1969.0
61401261,2,Q,2022-11-21T00:15:00,1969.0
61401263,2,Q,2022-11-20T22:47:54.97,1917.0
61401264,2,Q,2022-11-20T18:26:38.34,1909.0
61401265,2,Q,2022-11-18T06:15:48.24,1909.0
61401272,2,Q,2022-11-20T22:20:36.287,1909.0
61401276,2,Q,2022-11-20T23:15:00,1917.0
61401279,2,Q,2022-11-21T00:24:20.977,1919.0
61401280,2,Q,2022-11-18T08:15:45.06,1909.0
61401281,2,Q,2022-11-21T00:15:00,1909.0
61401282,2,Q,2022-11-19T20:56:20.623,1919.0
61401288,2,Q,2022-11-19T04:40:18.03,1917.0
61401291,2,Q,2022-11-20T14:01:00,1919.0
61401292,2,Q,2022-11-20T14:01:00,1909.0
61401296,2,Q,2022-11-18T22:44:24.77,1919.0
61401298,2,Q,2022-11-21T00:24:20.977,1919.0
61401301,2,Q,2022-11-20T14:01:00,1949.0
